Season,Category,Stat,Value
2022-2023,General,Age,15
2022-2023,General,Squad,Barcelona
2022-2023,General,Country,esESP
2022-2023,General,Comp,1.La Liga
2022-2023,General,LgRank,1st
2022-2023,General,Matches,Matches
2022-2023,Playing Time,MP,1
2022-2023,Playing Time,Starts,0
2022-2023,Playing Time,Min,8
2022-2023,Playing Time,90s,0.1
2022-2023,Performance,Gls,0
2022-2023,Performance,Ast,0
2022-2023,Performance,G+A,0
2022-2023,Performance,G-PK,0
2022-2023,Performance,PK,0
2022-2023,Performance,PKatt,0
2022-2023,Performance,CrdY,0
2022-2023,Performance,CrdR,0
2022-2023,Expected,xG,0.4
2022-2023,Expected,npxG,0.4
2022-2023,Expected,xAG,0.0
2022-2023,Expected,npxG+xAG,0.4
2022-2023,Progression,PrgC,0
2022-2023,Progression,PrgP,2
2022-2023,Progression,PrgR,2
2022-2023,Per 90 Minutes,Gls,0.00
2022-2023,Per 90 Minutes,Ast,0.00
2022-2023,Per 90 Minutes,G+A,0.00
2022-2023,Per 90 Minutes,G-PK,0.00
2022-2023,Per 90 Minutes,G+A-PK,0.00
2022-2023,Per 90 Minutes,xG,3.94
2022-2023,Per 90 Minutes,xAG,0.00
2022-2023,Per 90 Minutes,xG+xAG,3.94
2022-2023,Per 90 Minutes,npxG,3.94
2022-2023,Per 90 Minutes,npxG+xAG,3.94
2023-2024,General,Age,16
2023-2024,General,Squad,Barcelona
2023-2024,General,Country,esESP
2023-2024,General,Comp,1.La Liga
2023-2024,General,LgRank,2nd
2023-2024,General,Matches,Matches
2023-2024,Playing Time,MP,37
2023-2024,Playing Time,Starts,22
2023-2024,Playing Time,Min,"2,201"
2023-2024,Playing Time,90s,24.5
2023-2024,Performance,Gls,5
2023-2024,Performance,Ast,5
2023-2024,Performance,G+A,10
2023-2024,Performance,G-PK,5
2023-2024,Performance,PK,0
2023-2024,Performance,PKatt,0
2023-2024,Performance,CrdY,3
2023-2024,Performance,CrdR,0
2023-2024,Expected,xG,5.2
2023-2024,Expected,npxG,5.2
2023-2024,Expected,xAG,6.2
2023-2024,Expected,npxG+xAG,11.4
2023-2024,Progression,PrgC,123
2023-2024,Progression,PrgP,80
2023-2024,Progression,PrgR,350
2023-2024,Per 90 Minutes,Gls,0.20
2023-2024,Per 90 Minutes,Ast,0.20
2023-2024,Per 90 Minutes,G+A,0.41
2023-2024,Per 90 Minutes,G-PK,0.20
2023-2024,Per 90 Minutes,G+A-PK,0.41
2023-2024,Per 90 Minutes,xG,0.21
2023-2024,Per 90 Minutes,xAG,0.25
2023-2024,Per 90 Minutes,xG+xAG,0.47
2023-2024,Per 90 Minutes,npxG,0.21
2023-2024,Per 90 Minutes,npxG+xAG,0.47
2024-2025,General,Age,17
2024-2025,General,Squad,Barcelona
2024-2025,General,Country,esESP
2024-2025,General,Comp,1.La Liga
2024-2025,General,LgRank,1st
2024-2025,General,Matches,Matches
2024-2025,Playing Time,MP,35
2024-2025,Playing Time,Starts,31
2024-2025,Playing Time,Min,"2,856"
2024-2025,Playing Time,90s,31.7
2024-2025,Performance,Gls,9
2024-2025,Performance,Ast,13
2024-2025,Performance,G+A,22
2024-2025,Performance,G-PK,9
2024-2025,Performance,PK,0
2024-2025,Performance,PKatt,0
2024-2025,Performance,CrdY,3
2024-2025,Performance,CrdR,0
2024-2025,Expected,xG,9.8
2024-2025,Expected,npxG,9.8
2024-2025,Expected,xAG,13.9
2024-2025,Expected,npxG+xAG,23.8
2024-2025,Progression,PrgC,181
2024-2025,Progression,PrgP,160
2024-2025,Progression,PrgR,433
2024-2025,Per 90 Minutes,Gls,0.28
2024-2025,Per 90 Minutes,Ast,0.41
2024-2025,Per 90 Minutes,G+A,0.69
2024-2025,Per 90 Minutes,G-PK,0.28
2024-2025,Per 90 Minutes,G+A-PK,0.69
2024-2025,Per 90 Minutes,xG,0.31
2024-2025,Per 90 Minutes,xAG,0.44
2024-2025,Per 90 Minutes,xG+xAG,0.75
2024-2025,Per 90 Minutes,npxG,0.31
2024-2025,Per 90 Minutes,npxG+xAG,0.75
2025-2026,General,Age,18
2025-2026,General,Squad,Barcelona
2025-2026,General,Country,esESP
2025-2026,General,Comp,1.La Liga
2025-2026,General,LgRank,2nd
2025-2026,General,Matches,Matches
2025-2026,Playing Time,MP,8
2025-2026,Playing Time,Starts,7
2025-2026,Playing Time,Min,632
2025-2026,Playing Time,90s,7.0
2025-2026,Performance,Gls,4
2025-2026,Performance,Ast,4
2025-2026,Performance,G+A,8
2025-2026,Performance,G-PK,3
2025-2026,Performance,PK,1
2025-2026,Performance,PKatt,1
2025-2026,Performance,CrdY,0
2025-2026,Performance,CrdR,0
2025-2026,Expected,xG,2.6
2025-2026,Expected,npxG,1.8
2025-2026,Expected,xAG,1.8
2025-2026,Expected,npxG+xAG,3.6
2025-2026,Progression,PrgC,51
2025-2026,Progression,PrgP,32
2025-2026,Progression,PrgR,67
2025-2026,Per 90 Minutes,Gls,0.57
2025-2026,Per 90 Minutes,Ast,0.57
2025-2026,Per 90 Minutes,G+A,1.14
2025-2026,Per 90 Minutes,G-PK,0.43
2025-2026,Per 90 Minutes,G+A-PK,1.00
2025-2026,Per 90 Minutes,xG,0.37
2025-2026,Per 90 Minutes,xAG,0.26
2025-2026,Per 90 Minutes,xG+xAG,0.63
2025-2026,Per 90 Minutes,npxG,0.26
2025-2026,Per 90 Minutes,npxG+xAG,0.52
