Season,Category,Stat,Value
2013-2014,General,Age,21
2013-2014,General,Squad,Barcelona
2013-2014,General,Comp,2 Leagues
2013-2014,General,Matches,N/A
2013-2014,Playing Time,MP,36
2013-2014,Playing Time,Starts,28
2013-2014,Playing Time,Min,"2,510"
2013-2014,Playing Time,90s,27.9
2013-2014,Performance,Gls,13
2013-2014,Performance,Ast,11
2013-2014,Performance,G+A,24
2013-2014,Performance,G-PK,12
2013-2014,Performance,PK,1
2013-2014,Performance,PKatt,1
2013-2014,Performance,CrdY,7
2013-2014,Performance,CrdR,0
2013-2014,Expected,xG,N/A
2013-2014,Expected,npxG,N/A
2013-2014,Expected,xAG,N/A
2013-2014,Expected,npxG+xAG,N/A
2013-2014,Progression,PrgC,N/A
2013-2014,Progression,PrgP,N/A
2013-2014,Progression,PrgR,N/A
2013-2014,Per 90 Minutes,Gls,0.47
2013-2014,Per 90 Minutes,Ast,0.39
2013-2014,Per 90 Minutes,G+A,0.86
2013-2014,Per 90 Minutes,G-PK,0.43
2013-2014,Per 90 Minutes,G+A-PK,0.82
2013-2014,Per 90 Minutes,xG,N/A
2013-2014,Per 90 Minutes,xAG,N/A
2013-2014,Per 90 Minutes,xG+xAG,N/A
2013-2014,Per 90 Minutes,npxG,N/A
2013-2014,Per 90 Minutes,npxG+xAG,N/A
2014-2015,General,Age,22
2014-2015,General,Squad,Barcelona
2014-2015,General,Comp,3 Leagues
2014-2015,General,Matches,N/A
2014-2015,Playing Time,MP,51
2014-2015,Playing Time,Starts,47
2014-2015,Playing Time,Min,"4,090"
2014-2015,Playing Time,90s,45.4
2014-2015,Performance,Gls,39
2014-2015,Performance,Ast,8
2014-2015,Performance,G+A,47
2014-2015,Performance,G-PK,38
2014-2015,Performance,PK,1
2014-2015,Performance,PKatt,2
2014-2015,Performance,CrdY,8
2014-2015,Performance,CrdR,0
2014-2015,Expected,xG,N/A
2014-2015,Expected,npxG,N/A
2014-2015,Expected,xAG,N/A
2014-2015,Expected,npxG+xAG,N/A
2014-2015,Progression,PrgC,N/A
2014-2015,Progression,PrgP,N/A
2014-2015,Progression,PrgR,N/A
2014-2015,Per 90 Minutes,Gls,0.86
2014-2015,Per 90 Minutes,Ast,0.18
2014-2015,Per 90 Minutes,G+A,1.03
2014-2015,Per 90 Minutes,G-PK,0.84
2014-2015,Per 90 Minutes,G+A-PK,1.01
2014-2015,Per 90 Minutes,xG,N/A
2014-2015,Per 90 Minutes,xAG,N/A
2014-2015,Per 90 Minutes,xG+xAG,N/A
2014-2015,Per 90 Minutes,npxG,N/A
2014-2015,Per 90 Minutes,npxG+xAG,N/A
2015-2016,General,Age,23
2015-2016,General,Squad,Barcelona
2015-2016,General,Comp,3 Leagues
2015-2016,General,Matches,N/A
2015-2016,Playing Time,MP,48
2015-2016,Playing Time,Starts,48
2015-2016,Playing Time,Min,"4,346"
2015-2016,Playing Time,90s,48.3
2015-2016,Performance,Gls,31
2015-2016,Performance,Ast,17
2015-2016,Performance,G+A,48
2015-2016,Performance,G-PK,25
